,store_id,uptime_last_hour,uptime_last_day,uptime_last_week,downtime_last_hour,downtime_last_day,downtime_last_week,total_uptime,total_downtime
0,4430370444829587327,0,0,0,0,0,0,,
1,3595154674145356045,0,0,0,0,0,0,,
2,6836033035108373086,0,0,0,0,0,0,,
3,8207758013351082541,0,0,0,0,0,0,,
4,3390153829311738919,0,0,0,0,0,0,,
5,2746426715779371861,0,0,0,0,0,0,,
6,2968757472314064027,0,0,0,0,0,0,,
7,2107578749059541867,0,0,0,0,0,0,,
8,3851218396063293521,0,0,0,0,0,0,,
9,1300195604760986700,0,0,0,0,0,0,,
10,6957083785738308678,0,0,0,0,0,0,,
11,7771293565212721563,0,0,0,0,0,0,,
12,191331733720214713,0,0,0,0,0,0,,
13,73491667571474362,0,0,0,0,0,0,,
14,7587329580270461651,0,0,0,0,0,0,,
15,1600782661161589441,0,0,0,0,0,0,,
16,745608695776670852,0,0,0,0,0,0,,
17,6025618707296646412,0,0,0,0,0,0,,
18,6895144407747508687,0,0,0,0,0,0,,
19,1048487412286895027,0,0,0,0,0,0,,
20,7232252472638076370,0,0,0,0,0,0,,
21,1912555533282230523,0,0,0,0,0,0,,
22,2030701550166610417,0,0,0,0,0,0,,
23,1876853883705365076,0,0,0,0,0,0,,
24,8431870774141801196,0,0,0,0,0,0,,
25,4156739902828553236,0,0,0,0,0,0,,
26,6815312201538049379,0,0,0,0,0,0,,
27,712796944451411448,0,0,0,0,0,0,,
28,8957564409329106783,0,0,0,0,0,0,,
29,7789943684434476174,0,0,0,0,0,0,,
30,2202891728590810295,0,0,0,0,0,0,,
31,1355447201287842379,0,0,0,0,0,0,,
32,9209848539305894530,0,0,0,0,0,0,,
33,5038472250835572550,0,0,0,0,0,0,,
34,5059963425429966338,0,0,0,0,0,0,,
35,5630432795445298111,0,0,0,0,0,0,,
36,8056535549079348007,0,0,0,0,0,0,,
37,625693576506770342,0,0,0,0,0,0,,
38,6101467474613551716,0,0,0,0,0,0,,
39,2669539681763397123,0,0,0,0,0,0,,
40,2996368959037923145,0,0,0,0,0,0,,
41,3520520868285375708,0,0,0,0,0,0,,
42,1891735523940229622,0,0,0,0,0,0,,
43,892812251689642638,0,0,0,0,0,0,,
44,599471361420330580,0,0,0,0,0,0,,
45,2977825054377103667,0,0,0,0,0,0,,
46,6801575961410839005,0,0,0,0,0,0,,
47,8056381238752548021,0,0,0,0,0,0,,
48,8352284937490449741,0,0,0,0,0,0,,
49,7560763264970675952,0,0,0,0,0,0,,
50,2126569572325536294,0,0,0,0,0,0,,
51,2677415097765332649,0,0,0,0,0,0,,
52,5374596891700680328,0,0,0,0,0,0,,
53,4209037453844470790,0,0,0,0,0,0,,
54,1260983426069285442,0,0,0,0,0,0,,
55,5917727738261031768,0,0,0,0,0,0,,
56,565094336971198550,0,0,0,0,0,0,,
57,4457093454605721682,0,0,0,0,0,0,,
58,7064982264177258193,0,0,0,0,0,0,,
59,2648464785159803463,0,0,0,0,0,0,,
60,7054026621216095964,0,0,0,0,0,0,,
61,4961555008481144290,0,0,0,0,0,0,,
62,2062343054020023628,0,0,0,0,0,0,,
63,9216612860263478135,0,0,0,0,0,0,,
64,1723275522870193313,0,0,0,0,0,0,,
65,6021287657050460836,0,0,0,0,0,0,,
66,6630639946123524475,0,0,0,0,0,0,,
67,3031079282536062642,0,0,0,0,0,0,,
68,7956411844677574530,0,0,0,0,0,0,,
69,3092710124288815554,0,0,0,0,0,0,,
70,7761092740302803362,0,0,0,0,0,0,,
71,1544358724428482157,0,0,0,0,0,0,,
72,5626806583354496807,0,0,0,0,0,0,,
73,22400430932457551,0,0,0,0,0,0,,
74,7146859192891703417,0,0,0,0,0,0,,
75,7361102123552834037,0,0,0,0,0,0,,
76,7485668601594155846,0,0,0,0,0,0,,
77,4633173834833828846,0,0,0,0,0,0,,
78,3069871054095098458,0,0,0,0,0,0,,
79,740897790876755009,0,0,0,0,0,0,,
80,7893080836603321302,0,0,0,0,0,0,,
81,7286237959336867476,0,0,0,0,0,0,,
82,5636741385517666975,0,0,0,0,0,0,,
83,7436792072273365951,0,0,0,0,0,0,,
84,3666097341271899320,0,0,0,0,0,0,,
85,7112965177454164825,0,0,0,0,0,0,,
86,2325421978944839371,0,0,0,0,0,0,,
87,1137506062745200344,0,0,0,0,0,0,,
88,6776660075252450013,0,0,0,0,0,0,,
89,5388935248895761872,0,0,0,0,0,0,,
90,933257307636497177,0,0,0,0,0,0,,
91,5708123000330918881,0,0,0,0,0,0,,
92,79410870082912863,0,0,0,0,0,0,,
93,5529531397122473369,0,0,0,0,0,0,,
94,191562357790381001,0,0,0,0,0,0,,
95,9084273254897517786,0,0,0,0,0,0,,
96,3651177174912636930,0,0,0,0,0,0,,
97,4831662131951327865,0,0,0,0,0,0,,
98,6028655904317149623,0,0,0,0,0,0,,
99,1281520463164440962,0,0,0,0,0,0,,
100,1485188300216859385,0,0,0,0,0,0,,
101,3731106613640217396,0,0,0,0,0,0,,
102,4163052168475555173,0,0,0,0,0,0,,
103,8593011391038305146,0,0,0,0,0,0,,
104,5739453570641890165,0,0,0,0,0,0,,
105,3489386427079348307,0,0,0,0,0,0,,
106,3312822221640788687,0,0,0,0,0,0,,
107,7615263887671060136,0,0,0,0,0,0,,
108,1251288768714057829,0,0,0,0,0,0,,
109,7202588923969584853,0,0,0,0,0,0,,
110,1550203968025891397,0,0,0,0,0,0,,
111,7681219113084292190,0,0,0,0,0,0,,
112,8886126996371747465,0,0,0,0,0,0,,
113,5557004658524775227,0,0,0,0,0,0,,
114,1193885630958865179,0,0,0,0,0,0,,
115,8571850359955978025,0,0,0,0,0,0,,
116,4424946105527141451,0,0,0,0,0,0,,
117,4805710420772355934,0,0,0,0,0,0,,
118,3706963076124926642,0,0,0,0,0,0,,
119,6087685107991410630,0,0,0,0,0,0,,
120,2071941973789996796,0,0,0,0,0,0,,
121,8172150921624109830,0,0,0,0,0,0,,
122,1954855880595620654,0,0,0,0,0,0,,
123,6494136920668173702,0,0,0,0,0,0,,
124,1902681040516588209,0,0,0,0,0,0,,
125,2990437138119767040,0,0,0,0,0,0,,
126,8040224302022319290,0,0,0,0,0,0,,
127,4388091223876205766,0,0,0,0,0,0,,
128,2994760733762859774,0,0,0,0,0,0,,
129,4421288579483257531,0,0,0,0,0,0,,
130,7002164506422990860,0,0,0,0,0,0,,
131,4306420451573774403,0,0,0,0,0,0,,
132,8711255513803746732,0,0,0,0,0,0,,
133,7924491199841866209,0,0,0,0,0,0,,
134,3220216054968834715,0,0,0,0,0,0,,
135,7764493774951411826,0,0,0,0,0,0,,
136,6882015169769206546,0,0,0,0,0,0,,
137,2884609283589921794,0,0,0,0,0,0,,
138,290924358670002028,0,0,0,0,0,0,,
139,6872846384641974754,0,0,0,0,0,0,,
140,1077148464740608124,0,0,0,0,0,0,,
141,5893631803417653681,0,0,0,0,0,0,,
142,7292389554145336221,0,0,0,0,0,0,,
143,2138118330238270168,0,0,0,0,0,0,,
144,5297639967056493009,0,0,0,0,0,0,,
145,400616917847252076,0,0,0,0,0,0,,
146,8920127518775186224,0,0,0,0,0,0,,
147,6805581573213792366,0,0,0,0,0,0,,
148,2993668851137155800,0,0,0,0,0,0,,
149,323267668953027520,0,0,0,0,0,0,,
150,3881760078520801429,0,0,0,0,0,0,,
151,8816459404543711138,0,0,0,0,0,0,,
152,7250836057229985824,0,0,0,0,0,0,,
153,8412203269954933103,0,0,0,0,0,0,,
154,2637586174271498143,0,0,0,0,0,0,,
155,4973910068302269952,0,0,0,0,0,0,,
156,6074651821985068350,0,0,0,0,0,0,,
157,4518233183474396,0,0,0,0,0,0,,
158,1277432720439331851,0,0,0,0,0,0,,
159,8024118650329910750,0,0,0,0,0,0,,
160,4106588887788864519,0,0,0,0,0,0,,
161,5036997234964374401,0,0,0,0,0,0,,
162,2997830785070709293,0,0,0,0,0,0,,
163,1282771415198600294,0,0,0,0,0,0,,
164,1396479586201697405,0,0,0,0,0,0,,
165,1521693657990438534,0,0,0,0,0,0,,
166,3888056273641254950,0,0,0,0,0,0,,
167,4773233943961929400,0,0,0,0,0,0,,
168,6240005054825541610,0,0,0,0,0,0,,
169,3440027737071267605,0,0,0,0,0,0,,
170,1762118160451132048,0,0,0,0,0,0,,
171,7008080169644957367,0,0,0,0,0,0,,
172,6225374753514601496,0,0,0,0,0,0,,
173,584212184027691469,0,0,0,0,0,0,,
174,1994250259377514924,0,0,0,0,0,0,,
175,1736823622651363324,0,0,0,0,0,0,,
176,1868529600079353732,0,0,0,0,0,0,,
177,8583356151669750614,0,0,0,0,0,0,,
178,427574610597814096,0,0,0,0,0,0,,
179,8120291281787684286,0,0,0,0,0,0,,
180,9141611043881094669,0,0,0,0,0,0,,
181,3884963224853916213,0,0,0,0,0,0,,
182,1849049406871518816,0,0,0,0,0,0,,
183,1825417801525034310,0,0,0,0,0,0,,
184,382969169117187539,0,0,0,0,0,0,,
185,2259299822304943848,0,0,0,0,0,0,,
186,8726645090274973766,0,0,0,0,0,0,,
187,1012964275950235204,0,0,0,0,0,0,,
188,8091691209745685935,0,0,0,0,0,0,,
189,3595623944740824281,0,0,0,0,0,0,,
190,808938633227012075,0,0,0,0,0,0,,
191,2159172063705870797,0,0,0,0,0,0,,
192,6535667988678238038,0,0,0,0,0,0,,
193,2178819599267537536,0,0,0,0,0,0,,
194,2517492767037996789,0,0,0,0,0,0,,
195,7472095004272463618,0,0,0,0,0,0,,
196,8830093612950271828,0,0,0,0,0,0,,
